"","year","intervention","x50q30"
"1",2017,"Business as usual",0.198037365749533
"2",2017,"Scenario 4",0.198037365749533
"3",2018,"Business as usual",0.191739717559872
"4",2018,"Scenario 4",0.191739717559872
"5",2019,"Business as usual",0.191090660026931
"6",2019,"Scenario 4",0.191090660026931
"7",2020,"Business as usual",0.189950109869859
"8",2020,"Scenario 4",0.189950109869859
"9",2021,"Business as usual",0.18883486371158
"10",2021,"Scenario 4",0.18883486371158
"11",2022,"Business as usual",0.187354131057409
"12",2022,"Scenario 4",0.187354131057409
"13",2023,"Business as usual",0.186715299817212
"14",2023,"Scenario 4",0.185904010240421
"15",2024,"Business as usual",0.186483459254817
"16",2024,"Scenario 4",0.184676204307026
"17",2025,"Business as usual",0.186781114020978
"18",2025,"Scenario 4",0.183808137954717
"19",2026,"Business as usual",0.186811762059205
"20",2026,"Scenario 4",0.182526922256974
"21",2027,"Business as usual",0.187232587615219
"22",2027,"Scenario 4",0.181491779786568
"23",2028,"Business as usual",0.187875636112972
"24",2028,"Scenario 4",0.180522358817982
"25",2029,"Business as usual",0.188164853164277
"26",2029,"Scenario 4",0.179067390601393
"27",2030,"Business as usual",0.188807639158728
"28",2030,"Scenario 4",0.177807559987176
"29",2031,"Business as usual",0.189077502215704
"30",2031,"Scenario 4",0.176083714867375
"31",2032,"Business as usual",0.189503273636118
"32",2032,"Scenario 4",0.174654013485225
"33",2033,"Business as usual",0.18991165293846
"34",2033,"Scenario 4",0.173254733239246
"35",2034,"Business as usual",0.190243949917577
"36",2034,"Scenario 4",0.171734248370751
"37",2035,"Business as usual",0.190502070513366
"38",2035,"Scenario 4",0.170092484528553
"39",2036,"Business as usual",0.190792367814816
"40",2036,"Scenario 4",0.168416554861981
"41",2037,"Business as usual",0.191184129889818
"42",2037,"Scenario 4",0.166812049546053
"43",2038,"Business as usual",0.191760737985678
"44",2038,"Scenario 4",0.165344329303119
"45",2039,"Business as usual",0.19250722689277
"46",2039,"Scenario 4",0.163965727074828
"47",2040,"Business as usual",0.193358555909341
"48",2040,"Scenario 4",0.162613563155313
"49",2041,"Business as usual",0.194337908084239
"50",2041,"Scenario 4",0.161354677662932
"51",2042,"Business as usual",0.195291882524692
"52",2042,"Scenario 4",0.16008322968696
"53",2043,"Business as usual",0.196141544183204
"54",2043,"Scenario 4",0.15872448836512
"55",2044,"Business as usual",0.196892274592968
"56",2044,"Scenario 4",0.157311630473217
"57",2045,"Business as usual",0.197582641140543
"58",2045,"Scenario 4",0.155871127598434
"59",2046,"Business as usual",0.19818237968114
"60",2046,"Scenario 4",0.154418454137245
"61",2047,"Business as usual",0.198868100661872
"62",2047,"Scenario 4",0.153057475586812
"63",2048,"Business as usual",0.199570999998721
"64",2048,"Scenario 4",0.15186361768873
"65",2049,"Business as usual",0.200270435348292
"66",2049,"Scenario 4",0.150803474495446
"67",2050,"Business as usual",0.200931542968896
"68",2050,"Scenario 4",0.149925483196151
